Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc2-lf06,Ethernet2,spine,dc2-sp02,Ethernet6,True
spine,dc2-sp01,Ethernet1,l3leaf,dc2-lf01,Ethernet1,True
spine,dc2-sp01,Ethernet2,l3leaf,dc2-lf02,Ethernet1,True
spine,dc2-sp01,Ethernet3,l3leaf,dc2-lf03,Ethernet1,True
spine,dc2-sp01,Ethernet4,l3leaf,dc2-lf04,Ethernet1,True
spine,dc2-sp01,Ethernet5,l3leaf,dc2-lf05,Ethernet1,True
spine,dc2-sp01,Ethernet6,l3leaf,dc2-lf06,Ethernet1,True
spine,dc2-sp02,Ethernet1,l3leaf,dc2-lf01,Ethernet2,True
spine,dc2-sp02,Ethernet2,l3leaf,dc2-lf02,Ethernet2,True
spine,dc2-sp02,Ethernet3,l3leaf,dc2-lf03,Ethernet2,True
spine,dc2-sp02,Ethernet4,l3leaf,dc2-lf04,Ethernet2,True
spine,dc2-sp02,Ethernet5,l3leaf,dc2-lf05,Ethernet2,True
spine,dc2-sp02,Ethernet6,l3leaf,dc2-lf06,Ethernet2,True
